smiles,ic50_nm,dg_bind
Br.CC(Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccc(C(F)(F)F)cc1,4608.0,-7.568864815396506
Br.CC(Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1cccc2ccccc12,1008.0,-8.505031884930451
Br.CC[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1,4.0,-11.910994319964864
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccc(Br)cc1,62.0,-10.222719090427658
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccc(F)cc1,3.8,-11.942589450508764
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1cccc(F)c1,9.0,-11.411485634682093
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1,3.7,-11.959016290663962
Br.C[C@@H](Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12)c1ccccc1F,8.0,-11.484036451155355
Br.Cc1ccc([C@@H](C)Nc2ncnc3[nH]c(-c4ccc(O)cc4)cc23)cc1,450.0,-9.001796824028517
Br.Cc1cccc(C(C)Nc2ncnc3[nH]c(-c4ccc(O)cc4)cc23)c1,95.0,-9.959858508664697
Br.Cc1ccccc1C(C)Nc1ncnc2[nH]c(-c3ccc(O)cc3)cc12,17.0,-11.019735634045576
Br.Oc1ccc(-c2cc3c(NCc4ccc(F)cc4)ncnc3[nH]2)cc1,26.0,-10.75802033305879
Br.Oc1ccc(-c2cc3c(NCc4cccc(F)c4)ncnc3[nH]2)cc1,52.0,-10.331062464249282
Br.Oc1ccc(-c2cc3c(NCc4ccccc4)ncnc3[nH]2)cc1,3.3,-12.029489634678919
Br.Oc1ccc(-c2cc3c(NCc4ccccc4F)ncnc3[nH]2)cc1,45.0,-10.420120163760059
Brc1cc2c(NCc3ccccc3)ncnc2s1,241.0,-9.386439690461645
Brc1cc2c(NCc3ccccn3)ncnc2s1,7904.0,-7.2365027798236
Brc1cc2c(NCc3cccs3)ncnc2s1,1374.0,-8.314230234794172
Brc1cc2c(NCc3ccncc3)ncnc2s1,3883.0,-7.674310177369068
Brc1cc2c(Nc3ccccc3)ncnc2s1,80.0,-10.065713111423813
Brc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,710.0,-8.720903793991202
Brc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,490.0,-8.949342168825138
Brc1ccc(C2=NN(c3nc(-c4ccccc4)cs3)C(c3ccc(Br)cc3)C2)cc1,8950.0,-7.1599472121065775
Brc1ccc(CNc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)cc1,3130.0,-7.807097938575322
Brc1ccc2c(c1)CNc1c(NCc3ccccc3)ncnc1O2,18000.0,-6.729557746677955
Brc1ccc2c(c1)CNc1c(Nc3ccccc3)ncnc1O2,10000.0,-7.091616698657713
Brc1cccc(Nc2[nH]cnc3nc4ccccc4c2-3)c1,31.0,-10.649676959237167
Brc1cccc(Nc2ccnc3ccccc23)c1,5500.0,-7.459866356013153
Brc1cccc(Nc2ncnc3[nH]c4c(c23)CCCC4)c1,223.0,-9.434254461517593
Brc1cccc(Nc2ncnc3[nH]ccc23)c1,3.76,-11.949107712393094
Brc1cccc(Nc2ncnc3c2NCc2cc(Br)ccc2O3)c1,4100.0,-7.640814392192946
Brc1cccc(Nc2ncnc3c2NCc2ccccc2O3)c1,5750.0,-7.432485403822397
Brc1cccc(Nc2ncnc3c2[nH]c2ccccc23)c1,72.0,-10.130612028253562
Brc1cccc(Nc2ncnc3c2[nH]c2ccccc23)c1.Cl,82.5,-10.046758692834851
Brc1cccc(Nc2ncnc3c2ccc2[nH]cnc23)c1,272.0,-9.311904158807538
Brc1cccc(Nc2ncnc3c2oc2ccccc23)c1,740.0,-8.695411742391368
Brc1cccc(Nc2ncnc3c2sc2ccccc23)c1,85.9,-10.021882414440784
Brc1cccc(Nc2ncnc3c2sc2ncccc23)c1,732.0,-8.702107134399133
Brc1cccc(Nc2ncnc3c2sc2ncsc23)c1.CO,40.0,-10.49267098023332
Brc1cccc(Nc2ncnc3cc(NCCCCN4CCOCC4)ncc23)c1,5.385,-11.727852302768456
Brc1cccc(Nc2ncnc3cc(NCCCN4CCOCC4)ncc23)c1,1.905,-12.367928474759683
Brc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1,0.51145,-13.177921299669118
Brc1cccc(Nc2ncnc3cc(NCCN4CCOCC4)ncc23)c1,3.236,-12.041553080218973
Brc1cccc(Nc2ncnc3cc(NCCc4c[nH]cn4)ncc23)c1,0.911,-12.822326088353293
Brc1cccc(Nc2ncnc3cc(OCCCN4CCOCC4)c4c(c23)OCCO4)c1,18.48,-10.968317093468329
Brc1cccc(Nc2ncnc3cc4[nH]cc(CN5CCOCC5)c4cc23)c1,9.55,-11.374948402651054
Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1,0.44,-13.270609448242336
Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1,0.44,-13.270609448242336
Brc1cccc(Nc2ncnc3cc4[nH]nnc4cc23)c1,4.1,-11.895784411387574
Brc1cccc(Nc2ncnc3cc4c(cc23)CN4)c1,0.4365,-13.275528801257499
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCCO4)c1,85.0,-10.028370163123542
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCCSCCCO4)c1,8.0,-11.484036451155355
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCO4)c1,14.55,-11.11559433324531
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCO4)c1,55.0,-10.296513035476238
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,27.5,-10.723470904285747
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCOCOCOCCO4)c1,27.5,-10.723470904285747
Brc1cccc(Nc2ncnc3cc4c(cc23)OCCSCCO4)c1,7.0,-11.566287783070283
Brc1cccc(Nc2ncnc3cc4c(cc23)OCO4)c1,15.0,-11.096832375210955
Brc1cccc(Nc2ncnc3cc4c(cc23)Oc2ccccc2O4)c1,120.0,-9.815958768782426
Brc1cccc(Nc2ncnc3cc4c(ccn4CCCN4CCOCC4)cc23)c1,77.62,-10.084316334758153
Brc1cccc(Nc2ncnc3cc4c(ccn4CCN4CCOCC4)cc23)c1,15.85,-11.062880540469745
Brc1cccc(Nc2ncnc3cc4c(cnn4CCCN4CCOCC4)cc23)c1,42.9,-10.449557778963335
Brc1cccc(Nc2ncnc3cc4c(cnn4CCN4CCOCC4)cc23)c1,190.55,-9.531120144593663
Brc1cccc(Nc2ncnc3cc4c[nH]nc4cc23)c1,0.34,-13.429424444699151
Brc1cccc(Nc2ncnc3cc4nccnc4cc23)c1,1.7,-12.438058973777117
Brc1cccc(Nc2ncnc3cc4ncsc4cc23)c1,44.0,-10.433962768779253
Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,64.0,-10.203162844726826
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1,25.0,-10.782179115739819
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,238.0,-9.394155490722465
Brc1cccc(Nc2ncnc3ccc(NCCCN4CCCCC4)cc23)c1,1.7,-12.438058973777117
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCCCO5)cc23)c1,1140.0,-8.429230559594783
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCCO5)cc23)c1,98.0,-9.940707639747169
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCO5)cc23)c1,1020.0,-8.497742214053629
Brc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCO5)cc23)c1,630.0,-8.794540020436948
Brc1cccc(Nc2ncnc3ccc4[nH]cnc4c23)c1,29.0,-10.690756845187114
Brc1cccc(Nc2ncnc3ccc4c(c23)OCCN4)c1,120.5,-9.813397559271154
Brc1cccc(Nc2ncnc3ccc4cc[nH]c4c23)c1,1.24,-12.632407901081233
Brc1cccc(Nc2ncnc3ccccc23)c1,27.0,-10.734773423231196
Brc1cccc(Nc2ncnc3cccnc23)c1,34.335,-10.5867383534244
Brc1cccc(Nc2ncnc3ccncc23)c1,35.239999999999995,-10.57071293358004
Brc1cccc(Nc2ncnc3ccncc23)c1NCCCCN1CCOCC1,5.495,-11.715396602622478
Brc1cccc(Nc2ncnc3ccncc23)c1NCCCN1CCOCC1,1.905,-12.367928474759683
Brc1cccc(Nc2ncnc3ccncc23)c1NCCCn1ccnc1,0.5129,-13.176177448257883
Brc1cccc(Nc2ncnc3ccncc23)c1NCCN1CCOCC1,3.236,-12.041553080218973
Brc1cccc(Nc2ncnc3ccncc23)c1NCCc1c[nH]cn1,0.912,-12.821650312092425
Brc1cccc(Nc2ncnc3ccsc23)c1,11.0,-11.287878506398272
Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)cc23)c1,3.45,-12.00210868248816
Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)nc23)c1,2.9255,-12.10368757129844
Brc1cccc(Nc2ncnc3cnc(NCCCn4ccnc4)cc23)c1,5.3999999999999995,-11.726138894153229
