eval_id,quality,round,mu,lambda_,lambda_ratio,sigma_share,alpha,tournament_k
1,3.530844211578369,0,87,126,1.4442534981735462,0.1286814667553363,0.5247914532927936,5
2,3.4582433700561523,0,25,92,3.694644520472026,0.524645043037026,1.5942448414759975,6
3,3.7065677642822266,0,67,253,3.7727534832571887,0.6710974878850726,0.5041077502552221,5
4,4.970956802368164,0,45,28,0.6175495135691252,0.6107588125009609,0.7634834309038385,7
5,3.9701335430145264,0,18,43,2.395114270871821,0.30979832337616936,1.1340308317964878,7
6,4.02777099609375,0,46,43,0.9349914677484739,0.5694370902855412,1.4707842673613751,2
7,4.2609381675720215,0,33,61,1.842871439916592,0.7980469550524478,1.9712530081643451,5
8,3.953003168106079,0,44,122,2.776607466937357,0.5819127113996581,1.0833821359686557,6
9,3.3299028873443604,0,89,269,3.025209190679286,0.46774802573300817,0.9653628133384335,2
10,4.27699089050293,0,48,173,3.6132074202215008,0.7538304611693748,1.0366927950636053,4
11,3.8978917598724365,0,71,115,1.6265428687657975,0.5160100211397878,1.0068668382607,5
12,3.305607318878174,0,79,286,3.615960232016773,0.25901031547336584,1.4347807170290636,4
13,4.31483268737793,0,14,48,3.414254516786892,0.6509688152420784,0.8590541644894283,2
14,4.044422149658203,0,82,58,0.7049881218181802,0.3352819423819623,0.7254192003422586,7
15,3.170750617980957,0,88,289,3.28713494600553,0.2614495462956232,0.5780319515966144,4
16,3.5165600776672363,0,61,73,1.1947956557823938,0.16352713193338533,1.370498578980276,4
17,3.231029510498047,0,91,260,2.8519820728472576,0.23966081077774934,1.9131696657597468,3
18,4.795320510864258,0,14,12,0.8692334784958033,0.5403757060777965,1.8907318296018012,4
19,3.291069984436035,0,47,181,3.84106672791758,0.4499270695813529,1.1378429372736134,4
20,3.5934383869171143,0,96,382,3.9828377683236345,0.7642605724564357,1.1900677089636442,5
21,3.3227007389068604,1,100,400,4.0,0.2927842610900117,1.0967267993879959,2
22,3.150033473968506,1,90,360,4.0,0.1,0.9035547621244608,7
23,3.5472793579101562,1,42,136,3.2472211007586615,0.24860181984615962,1.9481918016765876,5
24,3.2150933742523193,1,71,223,3.138199260671432,0.2892390361782172,1.9918587895057285,3
25,3.6123554706573486,1,96,378,3.932526777888758,0.659989382295671,0.8765311107687084,5
26,3.7961621284484863,1,95,380,4.0,0.8,1.2766903636658697,4
27,3.6412758827209473,1,80,248,3.0961678940327215,0.27953519893717826,1.0745648896355304,5
28,3.342222213745117,1,100,400,4.0,0.4216112003462533,1.540481342220514,4
29,3.7867348194122314,1,100,240,2.4029245729134074,0.8,1.5072686083874074,3
30,3.6655962467193604,1,82,328,4.0,0.6814911457958377,1.7974353131078225,4
31,3.976022481918335,2,17,68,4.0,0.40501244023831395,1.4574615887179347,4
32,3.3581786155700684,2,89,282,3.173102867052761,0.2252518557668434,2.0,4
33,3.3726425170898438,2,95,380,4.0,0.2195223059019445,1.2572363315960946,6
34,3.154134750366211,2,98,354,3.6079641220941383,0.37409732071946633,0.5,5
35,3.626732587814331,2,10,34,3.3528154379220845,0.42844611790631804,1.773806012026355,7
36,3.3581786155700684,2,55,217,3.9467324645570985,0.1,1.456364900351047,7
37,3.008948564529419,2,92,368,4.0,0.3490620818732527,0.7225902104932314,5
38,3.623931407928467,2,85,200,2.3479733178658884,0.5204521315607845,1.7766105865172193,5
39,3.2434163093566895,2,78,276,3.544377361076892,0.39516555930330477,2.0,4
40,3.7238974571228027,2,100,292,2.922133896660953,0.36147128815885876,1.5722540285653475,4
41,3.7403030395507812,3,42,125,2.9670600883267166,0.33701292232350116,0.5,2
42,3.4530558586120605,3,81,324,4.0,0.6141336347501997,1.6326849261018017,4
43,3.158205509185791,3,77,298,3.8662991977497816,0.3634503482464948,2.0,3
44,2.9687881469726562,3,100,400,4.0,0.214630374640781,1.6391233578335709,4
45,3.5398030281066895,3,88,252,2.859706773601382,0.2923729392212284,1.4272224271639997,4
46,3.291069984436035,3,59,231,3.9117352286036184,0.3429842756523453,2.0,4
47,3.291069984436035,3,88,352,4.0,0.3610931436124553,1.0154874253145871,4
48,3.291069984436035,3,69,227,3.2933883584425394,0.1598560598243829,0.5,2
49,3.643545389175415,3,92,330,3.5855969107065317,0.5670038497987829,1.477363165163868,5
50,3.170750617980957,3,76,274,3.6073761757403053,0.33189733889200157,0.5,4
